ARTIST	TITLE	Sample ID#	Chart Date	Target Rank	Actual Rank	Peak Rank	Weeks on Chart	
Jan & Dean	The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association	689	1964-10-10	82	82	77	3	
Jan & Dean	The Little Old Lady (From Pasadena)	635	1964-07-04	21	22	3	11	
Janis Joplin	Kozmic Blues	397	1969-12-27	47	48	41	9	
Jeff Beck	People Get Ready	698	1985-08-17	83	85	48	10	
Jefferson Starship	Count On Me	1045	1978-04-15	18	16	8	14	
Jermaine Jackson	Let's Get Serious	811	1980-08-30	97	98	9	23	
Jerry Jeff Walker	Mr. Bojangles	294	1968-08-24	78	79	77	5	
Jerry Reed	Ko-Ko Joe	713	1971-09-18	56	58	51	6	
Jesus Jones	Right Here, Right Now	1169	1991-08-24	26	26	2	25	
Jesus Jones	Right Here, Right Now	1260	1991-09-14	61	62	2	25	
Jethro Tull	Living In The Past	706	1972-12-16	19	20	11	14	
Jimi Hendrix	Freedom	35	1971-05-01	67	65	59	8	
Jimmy Buffett	Come Monday	758	1974-08-10	45	45	30	14	
Jimmy Clanton	Just A Dream	185	1958-10-27	31	29	4	18	
Jimmy Clanton	Just A Dream	805	1958-09-15	6	5	4	18	
Jimmy Cliff	Wonderful World, Beautiful People	203	1969-12-06	80	81	25	11	
Jimmy Jones	Handy Man	250	1960-02-08	6	5	2	18	
Jimmy Reed	Baby What You Want Me To Do	1024	1960-05-16	93	93	37	14	
Jimmy Reed	Baby What You Want Me To Do	1263	1960-04-04	79	80	37	14	
Jimmy Ruffin	I've Passed This Way Before	1044	1967-01-07	23	23	17	11	
Jimmy Smith	Walk On The Wild Side (Part 1)	455	1962-06-09	31	32	21	11	
Joan Baez	There But For Fortune	1087	1965-10-23	72	71	50	7	
Joe Cocker	With A Little Help From My Friends	675	1968-11-23	84	85	68	6	
John Denver	Annie's Song	182	1974-09-21	67	68	1	17	
John Denver	Back Home Again	235	1974-12-28	65	65	5	16	
John Denver	Back Home Again	446	1974-12-14	44	42	5	16	
John Denver	It Amazes Me	245	1978-03-18	66	68	59	7	
John Denver	Rocky Mountain High	720	1972-12-23	47	46	9	19	
John Denver	Seasons Of The Heart	463	1982-08-21	78	78	78	5	
John Denver	Some Days Are Diamonds (Some Days Are Stone)	711	1981-09-19	37	36	36	20	
Johnny Cash	I Got Stripes	1160	1959-08-24	54	55	43	11	
Johnny Cash	The Ways Of A Woman In Love	787	1958-09-01	58	58	24	11	
Johnny Horton	Johnny Reb	1287	1959-08-24	69	70	54	8	
Johnny Horton	The Battle Of New Orleans	500	1959-04-27	93	93	1	20	
Johnny Horton	The Battle Of New Orleans	873	1959-08-24	26	25	1	20	
Johnny Lee	Lookin' For Love	12	1980-11-15	65	63	5	21	
Johnny Tillotson	I Rise, I Fall	355	1964-06-20	44	42	36	8	
Johnny Tillotson	It Keeps Right On A-Hurtin'	1041	1962-06-09	6	6	3	12	
Johnny Tillotson	Jimmy's Girl	410	1961-02-20	28	27	25	11	
Johnny Tillotson	Out Of My Mind	638	1963-05-04	45	45	24	10	
Johnny Tillotson	Talk Back Trembling Lips	1141	1963-12-07	26	26	7	13	
Johnny Tillotson	Worried Guy	267	1964-03-07	47	47	37	7	
Joni Mitchell	(You're So Square) Baby I Don't Care	417	1982-12-11	47	47	47	9	
Joni Mitchell	Big Yellow Taxi	668	1975-02-22	42	41	24	16	
Judas Priest	You've Got Another Thing Comin'	861	1982-11-27	68	67	67	7	
Juice Newton	Break It To Me Gently	303	1982-08-21	74	74	11	17	
Juice Newton	Queen Of Hearts	690	1981-07-04	22	23	2	27	
Kaoma	Lambada	1270	1990-04-28	78	77	46	12	
Kate Bush	Running Up That Hill	531	1985-12-14	59	58	30	20	
Kenny Rogers	I Don't Need You	494	1981-10-10	94	96	3	18	
Kenny Rogers	Lady	1258	1980-12-27	3	4	1	25	
Kenny Rogers	Lucille	731	1977-04-16	43	42	5	19	
Kenny Rogers	Scarlet Fever	372	1983-08-20	95	94	94	2	
Kenny Rogers	Sweet Music Man	472	1978-01-28	43	44	44	8	
Kenny Rogers	Through The Years	338	1981-12-26	84	82	13	15	
Kenny Rogers	Through The Years	832	1982-01-23	32	30	13	15	
Kenny Rogers	You Decorated My Life	238	1980-01-05	95	97	7	18	
Kiss	Rocket Ride	610	1978-04-08	44	44	39	10	
Kool & The Gang	Jungle Boogie	331	1974-01-19	22	22	4	22	
Kris Kristofferson	Loving Her Was Easier (Than Anything I'll Ever Do Again)	1135	1971-09-25	40	41	26	13	
Laura Branigan	Gloria	995	1982-11-27	3	2	2	36	
LaVern Baker	I Cried A Tear	822	1959-02-09	14	12	6	21	
LaVern Baker	I Cried A Tear	954	1959-02-02	20	19	6	21	
LaVern Baker	I Cried A Tear	1166	1959-02-02	21	19	6	21	
LaVern Baker	See See Rider	425	1963-02-02	47	48	34	11	
Led Zeppelin	D'yer Mak'er	749	1973-11-24	39	40	20	16	
Led Zeppelin	Over The Hills And Far Away	53	1973-06-30	80	81	51	8	
Led Zeppelin	Over The Hills And Far Away	1025	1973-08-11	64	64	51	8	
Led Zeppelin	Trampled Under Foot	525	1975-05-10	44	44	38	7	
Leo Sayer	You Make Me Feel Like Dancing	986	1977-01-22	3	3	1	21	
Lesley Gore	California Nights	813	1967-04-22	32	33	16	14	
Lesley Gore	California Nights	896	1967-03-11	25	27	16	14	
Lesley Gore	You Don't Own Me	1211	1964-03-07	14	13	2	13	
Level 42	Something About You	158	1986-03-22	52	52	7	27	
Level 42	Something About You	1237	1986-07-05	34	34	7	27	
Linda Ronstadt	When Will I Be Loved	324	1975-07-26	72	73	2	19	
Linda Ronstadt	When Will I Be Loved	839	1975-07-19	23	23	2	19	
Little Anthony & The Imperials	Out Of Sight, Out Of Mind	927	1969-09-06	54	53	52	9	
Little Joey & The Flips	Bongo Stomp	67	1962-06-16	99	97	35	8	
Little River Band	Happy Anniversary	1174	1978-02-25	19	20	16	18	
Little River Band	Help Is On Its Way	187	1977-11-05	20	18	14	22	
Little River Band	Help Is On Its Way	721	1977-12-24	98	100	14	22	
Little River Band	Reminiscing	77	1978-08-19	27	28	3	20	
Little River Band	The Other Guy	310	1983-01-15	13	14	11	18	
Little River Band	We Two	104	1983-06-18	23	22	22	12	
Looking Glass	Brandy (You're A Fine Girl)	128	1972-09-30	32	33	1	16	
Looking Glass	Brandy (You're A Fine Girl)	682	1972-08-19	1	2	1	16	
Los Lobos	Will The Wolf Survive	1119	1985-04-20	96	94	78	5	
Louis Armstrong	Hello, Dolly!	650	1964-03-28	8	8	1	22	
Louis Prima & Keely Smith	That Old Black Magic	746	1958-12-15	20	18	18	13	
Lynyrd Skynyrd	Sweet Home Alabama	107	1974-10-26	9	8	8	17	
Madonna	Live To Tell	1173	1986-07-26	58	59	1	18	
Madonna	Oh Father	1140	1990-02-03	100	100	20	13	
Marc Cohn	Walking In Memphis	775	1991-08-17	69	69	13	23	
Marie Osmond	Paper Roses	1245	1973-10-20	10	10	5	16	
Marky Mark	Good Vibrations	352	1991-11-09	31	31	1	19	
Marky Mark	Good Vibrations	503	1991-11-09	30	31	1	19	
Martha & The Vandellas	Nowhere To Run	74	1965-03-27	14	12	8	11	
Marty Robbins	Big Iron	814	1960-03-21	67	67	26	10	
Marty Robbins	Big Iron	1120	1960-05-09	42	43	26	10	
Marty Robbins	I Walk Alone	1054	1968-12-14	66	65	65	8	
Marvin Gaye	I Want You	319	1976-06-26	14	15	15	13	
Marvin Gaye	I Want You	795	1976-05-15	35	35	15	13	
Marvin Gaye	Mercy Mercy Me (The Ecology)	819	1971-08-07	10	10	4	12	
Marvin Gaye & Kim Weston	It Takes Two	280	1967-01-07	87	88	14	12	
Marvin Gaye & Tammi Terrell	If I Could Build My Whole World Around You	619	1967-12-23	22	23	10	11	
Marvin Gaye & Tammi Terrell	If I Could Build My Whole World Around You	1100	1967-12-23	24	23	10	11	
Marvin Gaye & Tammi Terrell	If I Could Build My Whole World Around You	1117	1967-12-09	49	47	10	11	
Mary MacGregor	Torn Between Two Lovers	1138	1976-12-18	43	42	1	22	
Max Frost & The Troopers	Shape Of Things To Come	257	1968-11-16	38	40	22	12	
Meat Loaf	Paradise By The Dashboard Light	71	1978-09-30	43	43	39	10	
Meat Loaf	You Took The Words Right Out Of My Mouth	807	1978-12-02	63	64	39	13	
Mel Torme	Comin' Home Baby	213	1962-12-29	36	36	36	11	
Melba Montgomery	No Charge	167	1974-06-08	38	39	39	10	
Metallica	One	884	1989-05-20	89	89	35	15	
Michael Jackson	Beat It	629	1983-04-02	14	14	1	25	
Michael Jackson	Human Nature	637	1983-08-13	22	23	7	14	
Michael Jackson	Man In The Mirror	1188	1988-04-23	11	11	1	16	
Michael Jackson	Wanna Be Startin' Somethin'	223	1983-09-03	89	89	5	15	
Michael Jackson With Siedah Garrett	I Just Can't Stop Loving You	85	1987-08-22	12	10	1	12	
Michael Johnson	Almost Like Being In Love	547	1978-09-02	54	54	32	12	
Michael Sembello	Maniac	553	1983-06-25	49	48	1	22	
Milli Vanilli	Baby Don't Forget My Number	1276	1989-05-27	21	22	1	21	
Milli Vanilli	Girl I m Gonna Miss You	1039	1989-09-02	13	12	1	21	
Milli Vanilli	Girl You Know It's True	913	1989-04-22	8	8	2	26	
Minnie Riperton	Lovin' You	1257	1975-01-18	81	80	1	18	
Naked Eyes	Always Something There To Remind Me	181	1983-03-19	80	79	8	22	
Nancy Sinatra	These Boots Are Made For Walkin'	284	1966-02-05	29	28	1	14	
"Nat ""King"" Cole"	Ramblin' Rose	220	1962-11-17	62	61	2	16	
"Nat ""King"" Cole"	Those Lazy-Hazy-Crazy Days Of Summer	516	1963-07-20	31	33	6	12	
"Nat ""King"" Cole"	Those Lazy-Hazy-Crazy Days Of Summer	1132	1963-07-06	11	12	6	12	
Natalie Cole	I've Got Love On My Mind	177	1977-02-05	74	74	5	21	
Natalie Cole	Unforgettable	982	1991-11-02	88	88	14	17	
Neil Sedaka	Breaking Up Is Hard To Do	728	1976-03-13	55	55	1	25	
Neneh Cherry	Kisses On The Wind	370	1989-10-07	23	24	8	14	
Neneh Cherry	Kisses On The Wind	909	1989-08-19	32	32	8	14	
Nick Gilder	Hot Child In The City	615	1978-09-23	9	9	1	31	
Nick Gilder	Hot Child In The City	783	1978-12-02	26	28	1	31	
Nitty Gritty Dirt Band	Buy For Me The Rain	88	1967-04-22	57	57	45	7	
Nitty Gritty Dirt Band	Make A Little Magic	859	1980-09-13	42	43	25	16	
Oak Ridge Boys	Elvira	864	1981-05-30	48	48	5	22	
Ocean	Put Your Hand In The Hand	429	1971-05-29	5	6	2	14	
Oliver	Good Morning Starshine	834	1969-07-12	4	3	3	13	
Otis Redding	(Sittin' On) The Dock Of The Bay	645	1968-03-23	1	1	1	16	
Otis Redding	Chained And Bound	678	1964-10-31	95	95	70	7	
Otis Redding	I've Been Loving You Too Long (To Stop Now)	502	1965-07-03	20	21	21	11	
Paper Lace	The Night Chicago Died	767	1974-08-03	4	5	1	17	
Pat Benatar	Fire And Ice	89	1981-08-15	25	24	17	15	
Pat Benatar	Heartbreaker	1053	1980-03-08	22	24	23	18	
Pat Benatar	Heartbreaker	1204	1979-12-22	75	76	23	18	
Pat Benatar	Little Too Late	973	1983-04-30	81	83	20	14	
Pat Benatar	Love Is A Battlefield	741	1983-10-01	63	62	5	22	
Pat Benatar	Promises In The Dark	227	1981-11-21	57	55	38	11	
Pat Benatar	Promises In The Dark	275	1981-11-21	55	55	38	11	
Patrick Hernandez	Born To Be Alive	259	1979-07-14	59	60	16	19	
Patrick Hernandez	Born To Be Alive	279	1979-06-30	79	78	16	19	
Patrick Hernandez	Born To Be Alive	552	1979-08-04	40	40	16	19	
Paul Anka	Let Me Get To Know You	325	1974-02-23	85	87	80	8	
Paul Anka	Love Me Warm And Tender	196	1962-05-12	36	34	12	12	
Paul McCartney	Maybe I'm Amazed	206	1977-03-05	20	20	10	13	
Paul McCartney	My Love	1163	1973-04-14	73	73	1	18	
Paul McCartney	Press	772	1986-08-23	39	39	21	11	
Paul McCartney	With A Little Luck	456	1978-07-22	94	96	1	18	
Paul Revere & The Raiders	Kicks	1181	1966-06-04	14	14	4	14	
Paul Simon	50 Ways To Leave Your Lover	824	1976-03-27	31	29	1	17	
Paul Simon	You Can Call Me Al	81	1986-08-23	69	69	23	29	
Paul Simon	You Can Call Me Al	833	1986-08-09	83	83	23	29	
Peaches & Herb	Shake Your Groove Thing	550	1978-12-23	69	71	5	22	
Peggy Lee	Fever	396	1958-09-22	32	33	8	16	
Peggy Lee	Is That All There Is	59	1969-10-11	33	33	11	10	
Pet Shop Boys	Always On My Mind	184	1988-04-30	12	11	4	14	
Pet Shop Boys	Love Comes Quickly	526	1986-10-04	60	62	62	8	
Pet Shop Boys	What Have I Done To Deserve This?	648	1988-02-20	3	2	2	12	
Pet Shop Boys	Where The Streets Have No Name	382	1991-06-08	76	76	72	7	
Pet Shop Boys	Where The Streets Have No Name	1300	1991-06-29	84	83	72	7	
Peter Gabriel	Shock The Monkey	92	1982-11-06	59	60	29	18	
Peter Gabriel	Shock The Monkey	141	1982-12-04	39	39	29	18	
Phil Collins	Two Hearts	43	1989-02-25	50	48	1	18	
Pink Floyd	Another Brick In The Wall (Part II)	1052	1980-07-05	93	94	1	25	
Pink Floyd	Money	269	1973-07-28	12	13	13	15	
Player	Baby Come Back	1003	1978-01-28	3	1	1	32	
Pointer Sisters	He's So Shy	663	1980-08-09	61	62	3	26	
Poison	Unskinny Bop	810	1990-09-15	3	5	3	19	
Prince (With Sheena Easton)	The Arms Of Orion	1019	1989-12-16	35	36	36	14	
Psychedelic Furs	Pretty In Pink	729	1986-05-24	42	42	41	11	
Pure Prairie League	Amie	406	1975-03-08	88	88	27	13	
Quarterflash	Harden My Heart	608	1982-03-06	18	18	3	24	
Quarterflash	Harden My Heart	659	1982-02-06	4	4	3	24	
Queen	We Are The Champions	588	1978-01-14	10	10	4	27	
Queensryche	Silent Lucidity	670	1991-06-08	10	12	9	17	
Queensryche	Silent Lucidity	685	1991-05-11	10	11	9	17	
R. Dean Taylor	Indiana Wants Me	30	1970-12-05	18	18	5	15	
R. Dean Taylor	Indiana Wants Me	537	1970-09-19	34	35	5	15	
Randy Vanwarmer	Just When I Needed You Most	149	1979-07-21	38	38	4	20	
Rare Earth	Get Ready	1220	1970-06-06	6	6	4	20	
Ray Charles	(Night Time Is) The Right Time	214	1959-02-09	94	95	95	1	
Ray Charles	Crying Time	748	1965-12-25	60	61	6	15	
Ray Charles	Eleanor Rigby	933	1968-06-29	54	53	35	10	
Ray Charles	Let's Go Get Stoned	890	1966-07-16	29	31	31	9	
Ray Parker Jr.	Ghostbusters	621	1984-08-18	1	1	1	21	
Ray Price	For The Good Times	102	1970-09-26	65	66	11	24	
Ray Price	For The Good Times	725	1970-12-12	22	23	11	24	
Redbone	Come And Get Your Love	315	1974-02-16	35	35	5	23	
REO Speedwagon	Time For Me To Fly	268	1980-05-31	90	90	56	13	
REO Speedwagon	Time For Me To Fly	910	1980-07-05	85	86	56	13	
Rick Derringer	Rock And Roll, Hoochie Koo	1267	1974-02-23	43	42	23	14	
Rick James	Give It To Me Baby	480	1981-06-27	49	50	40	14	
Rick James	Super Freak (Part I)	812	1981-12-19	74	72	16	24	
Rick Springfield	Don't Talk To Strangers	865	1982-03-20	24	24	2	21	
Rick Springfield	Jessie's Girl	217	1981-04-11	60	61	1	32	
Rick Springfield	Jessie's Girl	450	1981-08-22	6	5	1	32	
Rita Coolidge	(Your Love Has Lifted Me) Higher And Higher	336	1977-08-13	5	4	2	27	
Rita Coolidge	Fever	692	1973-01-27	75	77	76	7	
Rita Coolidge	The Way You Do The Things You Do	291	1978-01-21	74	73	20	11	
Rita Coolidge	We're All Alone	806	1977-11-26	7	7	7	20	
Rob Base	It Takes Two	1109	1988-09-10	56	58	36	16	
Robert John	Lonely Eyes	154	1980-02-09	62	63	41	11	
Robert John	Sad Eyes	1064	1979-09-22	5	6	1	27	
Robert Palmer	Addicted To Love	271	1986-03-08	40	38	1	22	
Robert Palmer	Addicted To Love	458	1986-03-08	37	38	1	22	
Roberta Flack	Feel Like Makin' Love	221	1974-09-28	39	38	1	16	
Roberta Flack	Feel Like Makin' Love	454	1974-09-07	10	11	1	16	
Roberta Flack	Feel Like Makin' Love	940	1974-08-03	3	3	1	16	
Roberta Flack & Donny Hathaway	You've Got A Friend	4	1971-08-07	32	31	29	12	
Roberta Flack & Donny Hathaway	You've Got A Friend	1229	1971-06-19	68	67	29	12	
Rock And Hyde	Dirty Water	929	1987-05-23	64	65	61	10	
Rockwell	Somebody's Watching Me	334	1984-01-28	73	73	2	19	
Rockwell	Somebody's Watching Me	882	1984-03-17	4	3	2	19	
Rod Bernard	This Should Go On Forever	707	1959-03-16	61	60	20	11	
Rod Stewart	Maggie May	100	1971-11-27	11	11	1	17	
Rod Stewart	"Twistin' The Night Away (from the film ""Innerspace"")"	620	1987-07-25	82	80	80	4	
Roger Miller	You Can't Roller Skate In A Buffalo Herd	308	1966-07-30	42	43	40	6	
Roger Miller	You Can't Roller Skate In A Buffalo Herd	669	1966-07-30	43	43	40	6	
Ronnie Milsap	I Wouldn't Have Missed It For The World	131	1981-10-31	76	75	20	17	
Roxette	The Look	567	1989-03-04	25	25	1	19	
Roxy Music	Dance Away	568	1979-05-19	64	65	44	9	
Roxy Music	Dance Away	846	1979-06-02	48	49	44	9	
Roy Drusky	Three Hearts In A Tangle	1006	1961-06-26	34	35	35	16	
Roy Head	Treat Her Right	1125	1965-09-18	25	26	2	11	
Roy Orbison	Cry Softly Lonely One	64	1967-08-26	54	53	52	6	
Run-D.M.C.	Walk This Way	879	1986-08-02	56	55	4	16	
Rush	The Spirit Of Radio	105	1980-03-08	60	62	51	8	
Sagittarius	My World Fell Down	1182	1967-07-22	70	70	70	5	
Sammy Hagar	Give To Live	465	1987-07-11	52	52	23	17	
Sammy Hagar	I Can't Drive 55	353	1984-11-17	27	27	26	16	
Santana	Evil Ways	364	1970-04-04	18	18	9	13	
Santo & Johnny	Sleep Walk	157	1959-08-24	8	8	1	18	
Santo & Johnny	Sleep Walk	603	1959-08-10	53	55	1	18	
Shannon	Let The Music Play	1279	1984-01-14	26	26	8	24	
Shirley Brown	Woman To Woman	400	1975-01-25	53	54	22	14	
Simon & Garfunkel	A Hazy Shade Of Winter	1121	1966-11-26	18	17	13	9	
Simon & Garfunkel	Cecilia	560	1970-05-30	4	4	4	13	
Simon & Garfunkel	El Condor Pasa	1261	1970-09-26	38	38	18	11	
Simon & Garfunkel	Fakin' It	947	1967-09-16	65	65	23	8	
Simon & Garfunkel	Mrs. Robinson	616	1968-06-01	2	1	1	13	
Simon & Garfunkel	The Sounds Of Silence	1153	1965-12-11	27	26	1	14	
Simple Minds	Sanctify Yourself	254	1986-03-22	12	14	14	14	
Sly & The Family Stone	Hot Fun In The Summertime	70	1969-11-15	12	12	2	16	
Sly & The Family Stone	I Want To Take You Higher	614	1969-06-28	59	60	38	16	
Smokey Robinson	Cruisin'	307	1980-03-01	5	7	4	25	
Smokey Robinson	Cruisin'	1133	1980-03-08	15	15	4	25	
Smokey Robinson	Cruisin'	1162	1979-12-01	29	28	4	25	
Snap	The Power	40	1990-06-09	30	28	2	22	
Snap	The Power	742	1990-05-26	52	50	2	22	
Soft Cell	Tainted Love	654	1982-01-30	75	73	8	43	
Solomon Burke	If You Need Me	160	1963-04-20	93	91	37	11	
Solomon Burke	If You Need Me	172	1963-06-29	67	69	37	11	
Sonny & Cher	A Cowboys Work Is Never Done	1147	1972-04-15	10	10	8	13	
Sonny & Cher	All I Ever Need Is You	950	1971-12-11	8	8	7	15	
Sonny & Cher	Baby Don't Go	1212	1965-09-18	23	22	8	12	
Spandau Ballet	True	91	1983-08-20	41	42	4	18	
Stephanie Mills	Never Knew Love Like This Before	1112	1980-12-06	33	33	6	25	
Steppenwolf	Born To Be Wild	841	1968-10-05	22	23	2	13	
Steve Miller Band	Rock'n Me	1249	1976-09-25	20	21	1	18	
Steve Miller Band	The Joker	29	1973-11-10	44	46	1	20	
Steve Miller Band	The Joker	504	1974-01-19	1	2	1	20	
Steve Winwood	Back In The High Life Again	207	1987-09-05	36	37	13	21	
Steve Winwood	Don't You Know What The Night Can Do?	889	1988-10-15	7	7	6	17	
Stevie B	Because I Love You (The Postman Song)	242	1991-02-16	50	49	1	23	
Stevie B	Because I Love You (The Postman Song)	782	1991-02-23	63	65	1	23	
Stevie Wonder	Do I Do	736	1982-07-10	13	13	13	14	
Stevie Wonder	Higher Ground	625	1973-09-01	29	30	4	14	
Stevie Wonder	If You Really Love Me	631	1971-09-04	36	37	8	14	
Stevie Wonder	That Girl	683	1982-01-16	70	72	4	18	
Stevie Wonder	That Girl	768	1982-03-06	6	5	4	18	
Sting	All This Time	1012	1991-02-23	14	13	5	15	
Sting	If You Love Somebody Set Them Free	384	1985-08-10	2	3	3	18	
Stray Cats	I Won't Stand In Your Way	1197	1983-11-19	50	48	35	12	
Stray Cats	Rock This Town	1102	1982-11-27	13	12	9	21	
Stray Cats	Rock This Town	1150	1983-01-29	84	85	9	21	
Swingin' Medallions	Double Shot (Of My Baby's Love)	549	1966-04-30	93	92	17	13	
Switch	There'll Never Be	1078	1978-11-25	41	41	36	13	
Talking Heads	And She Was	23	1985-12-07	88	87	54	20	
Talking Heads	And She Was	870	1985-11-30	66	65	54	20	
Talking Heads	Burning Down The House	844	1983-08-20	53	54	9	20	
Tanya Tucker	Here's Some Love	19	1976-10-09	88	87	82	5	
Teddy Pendergrass	I Don't Love You Anymore	797	1977-06-25	51	51	41	14	
Ten Years After	I'd Love To Change The World	248	1971-11-13	42	42	40	12	
Ten Years After	I'd Love To Change The World	751	1971-10-02	86	86	40	12	
Tevin Campbell	Tell Me What You Want Me To Do	1145	1991-11-16	74	74	6	25	
The 5th Dimension	(Last Night) I Didn't Get To Sleep At All	265	1972-04-29	33	34	8	16	
The 5th Dimension	Go Where You Wanna Go	330	1967-01-21	70	71	16	10	
The 5th Dimension	If I Could Reach You	433	1972-09-23	47	47	10	15	
The 5th Dimension	Never My Love	22	1971-11-20	18	19	12	11	
The 5th Dimension	One Less Bell To Answer	1127	1971-02-13	12	13	2	19	
The Alan Parsons Project	Eye In The Sky	956	1982-07-31	33	35	3	25	
The Allman Brothers Band	Straight From The Heart	798	1981-09-19	39	39	39	11	
The Amboy Dukes	Journey To The Center Of The Mind	828	1968-07-20	46	47	16	12	
The Animals	San Franciscan Nights	168	1967-09-16	9	9	9	10	
The Babys	Every Time I Think Of You	1070	1979-02-03	37	37	13	16	
The Band	Life Is A Carnival	234	1971-11-20	77	75	72	6	
The Beach Boys	Bluebirds Over The Mountain	427	1969-01-11	63	62	61	6	
The Beach Boys	In My Room	270	1963-11-23	44	44	23	11	
The Beach Boys	"Kokomo (from the film ""Cocktail"")"	974	1988-09-17	57	58	1	28	
The Beach Boys	Sail On Sailor	239	1975-06-07	77	79	49	17	
The Beach Boys	Still Cruisin	228	1989-09-02	96	95	93	3	
The Beach Boys	Surfin' Safari	838	1962-08-18	77	79	14	17	
The Beach Boys	Wendy	479	1964-11-21	56	56	44	6	
The Beatles	A Hard Day's Night	1142	1964-09-19	12	12	1	13	
The Beatles	Come Together	473	1969-10-25	13	13	1	16	
The Beatles	Do You Want To Know A Secret	302	1964-03-28	80	78	2	11	
The Beatles	Eight Days A Week	727	1965-03-27	2	4	1	10	
The Beatles	Help!	1244	1965-10-30	33	32	1	13	
The Beatles	I Don't Want To Spoil The Party	1213	1965-03-20	40	39	39	6	
The Beatles	I Saw Her Standing There	853	1964-02-15	56	54	14	11	
The Beatles	Love Me Do	50	1964-07-11	23	24	1	14	
The Beatles	Ob-La-Di, Ob-La-Da	1107	1976-12-11	49	49	49	7	
The Beatles	She's A Woman	1193	1964-12-12	30	29	4	9	
The Box Tops	Cry Like A Baby	935	1968-04-20	1	3	2	15	
The Boys	Dial My Heart	78	1988-12-24	46	46	13	19	
The Buckinghams	Kind Of A Drag	369	1967-01-07	66	66	1	13	
The Byrds	Eight Miles High	111	1966-06-04	33	32	14	9	
The Byrds	Goin' Back	1033	1967-11-18	92	94	89	3	
The Castaways	Liar, Liar	848	1965-10-09	18	18	12	14	
The Chiffons	He's So Fine	1292	1963-03-09	17	19	1	15	
The Chiffons	Sweet Talkin' Guy	26	1966-05-07	88	86	10	10	
The Contours	Do You Love Me	66	1988-06-18	57	58	3	34	
The Contours	Do You Love Me	335	1962-11-10	7	9	3	34	
The Contours	Do You Love Me	849	1988-07-09	28	28	3	34	
The Cowsills	Hair	770	1969-03-15	85	84	2	15	
The Cowsills	Silver Threads And Golden Needles	474	1969-10-18	83	84	74	7	
The Crystals	He's A Rebel	404	1962-12-08	12	11	1	18	
The Crystals	He's A Rebel	1091	1962-09-29	44	44	1	18	
The Crystals	There's No Other (Like My Baby)	1094	1961-11-20	91	92	20	9	
The Cure	Just Like Heaven	359	1988-02-13	93	92	40	19	
The Doobie Brothers	Echoes Of Love	1200	1977-10-29	78	76	66	7	
The Doors	Riders On The Storm	945	1971-07-24	41	39	14	12	
The Dramatics	Hey You! Get Off My Mountain	1020	1973-05-26	64	65	43	12	
The Drifters	On Broadway	461	1963-03-30	54	56	9	10	
The Drifters	On Broadway	781	1963-04-06	36	37	9	10	
The Electric Prunes	I Had Too Much To Dream (Last Night)	134	1967-01-07	49	47	11	14	
The Everly Brothers	Bird Dog	322	1958-12-01	79	78	2	19	
The Everly Brothers	Bird Dog	733	1958-08-18	16	17	2	19	
The Everly Brothers	Ebony Eyes	1116	1961-04-10	30	31	8	12	
The Everly Brothers	Ebony Eyes	1297	1961-03-13	7	9	8	12	
The Everly Brothers	That's Old Fashioned (That's The Way Love Should Be)	1248	1962-06-30	10	12	9	9	
The Everly Brothers	Walk Right Back	153	1961-05-01	52	50	7	13	
The Fabulous Thunderbirds	Tuff Enuff	1062	1986-06-28	14	15	10	19	
The Falcons	I Found A Love	580	1962-05-26	75	75	75	9	
The Fireballs	Sugar Shack	674	1963-12-14	13	13	1	15	
The Greg Kihn Band	Happy Man	1246	1982-05-22	88	86	62	7	
The Greg Kihn Band	Lucky	1027	1985-02-16	70	72	30	12	
The Hollies	Carrie-Anne	477	1967-08-26	18	18	9	13	
The Hollies	Long Dark Road	290	1972-11-18	51	52	26	11	
The Isley Brothers	It's Your Thing	391	1969-06-07	19	19	2	14	
The J. Geils Band	Freeze-Frame	1002	1982-03-20	19	18	4	16	
The J. Geils Band	Just Can't Wait	21	1980-08-02	91	90	78	5	
The J. Geils Band	Looking For A Love	662	1972-01-29	44	45	39	10	
The J. Geils Band	Looking For A Love	664	1972-01-22	40	39	39	10	
The J. Geils Band	Must Of Got Lost	1069	1974-12-07	24	24	12	11	
The J. Geils Band	One Last Kiss	478	1978-12-02	65	65	35	13	
The Jacksons	Dancing Machine	985	1974-08-10	68	69	2	22	
The Jacksons	I Want You Back	1178	1969-11-29	49	51	1	19	
The Kendalls	Heaven's Just A Sin Away	671	1977-11-19	78	80	69	7	
The Kinks	Better Things	443	1981-12-05	99	97	92	8	
The Kinks	Till The End Of The Day	904	1966-04-23	60	61	50	8	
The La's	There She Goes	1289	1991-07-27	80	80	49	10	
The Meters	Look-Ka Py Py	1096	1970-01-31	56	56	56	10	
The Miracles	Baby, Baby Don't Cry	481	1969-03-22	17	17	8	14	
The Miracles	Baby, Baby Don't Cry	1186	1969-01-04	54	53	8	14	
The Miracles	I Don't Blame You At All	582	1971-04-03	52	50	18	12	
The Miracles	I Second That Emotion	946	1968-01-20	7	8	4	15	
The Miracles	Mighty Good Lovin'	1134	1961-08-14	51	51	51	6	
The Moments	Walk Right In	554	1963-01-12	98	100	82	5	
The Music Explosion	Little Bit O' Soul	467	1967-05-20	73	73	2	16	
