Filename	Artist	Title	Chart Date	Peak Position	Weeks on Chart	Target Rank	Actual Rank	Sample ID#
EricClapton_ICantStandIt_1981	Eric Clapton	I Can't Stand It	1981/04/25	10	17	11	11	898
EricClapton_LayDownSally_1978	Eric Clapton	Lay Down Sally	1978/05/20	3	23	24	24	1040
EricClapton_LetItRain_1972	Eric Clapton	Let It Rain	1972/12/02	48	13	48	48	116
EricClapton_Promises_1978	Eric Clapton	Promises	1978/12/23, 1978/12/23	9, 9	18, 18	14, 13	13, 13	124, 916
EricClapton_WillieAndTheHandJive_1974	Eric Clapton	Willie And The Hand Jive	1974/12/21	26	9	38	36	194
EttaJames_FoolThatIAm_1961	Etta James	Fool That I Am	1961/07/03, 1961/07/10	50, 50	6, 6	51, 56	50, 54	515, 562
EttaJames_StopTheWedding_1962	Etta James	Stop The Wedding	1962/08/25	34	8	44	44	127
EttaJames_WouldItMakeAnyDifferenceToYou_1963	Etta James	Would It Make Any Difference To You	1963/01/12	64	7	81	79	726
EvelynChampagneKing_ImInLove_1981	Evelyn Champagne King	I'm In Love	1981/08/15	40	14	62	61	482
FatsDomino_BeMyGuest_1959	Fats Domino	Be My Guest	1959/11/16	8	14	17	17	1072
FatsDomino_IWantToWalkYouHome_1959	Fats Domino	I Want To Walk You Home	1959/10/19	8	13	33	33	773
Firehouse_DontTreatMeBad_1991	Firehouse	Don't Treat Me Bad	1991/08/03, 1991/03/09	19, 19	23, 23	90, 85	88, 86	258, 349
FiveManElectricalBand_AbsolutelyRight_1971	Five Man Electrical Band	Absolutely Right	1971/11/06	26	8	28	27	41
FlattAndScruggs_FoggyMountainBreakdown_1968	Flatt & Scruggs	Foggy Mountain Breakdown	1968/04/13, 1968/03/30	55, 55	12, 12	67, 76	65, 74	37, 759
FloydCramer_LastDate_1960	Floyd Cramer	Last Date	1960/12/31	2	20	2	3	788
Focus_HocusPocus_1973	Focus	Hocus Pocus	1973/03/31, 1973/04/21	9, 9	19, 19	63, 38	63, 39	381, 999
Foghat_DrivinWheel_1977	Foghat	Drivin' Wheel	1977/01/29, 1976/12/04	34, 34	10, 10	56, 65	54, 65	75, 95
FontellaBass_RescueMe_1965	Fontella Bass	Rescue Me	1965/10/30	4	13	15	14	777
FourTops_StandingInTheShadowsOfLove_1967	Four Tops	Standing In The Shadows Of Love	1967/02/18, 1967/02/11	6, 6	10, 10	24, 17	26, 18	1192, 1283
FreddieJackson_HaveYouEverLovedSomebody_1987	Freddie Jackson	Have You Ever Loved Somebody	1987/02/21	69	9	75	74	122
FreddyFender_LivingItDown_1976	Freddy Fender	Living It Down	1976/11/06	72	4	76	75	346
FreddyFender_SecretLove_1975	Freddy Fender	Secret Love	1975/11/22	20	11	28	28	872
GaryUSBonds_QuarterToThree_1961	Gary U.S. Bonds	Quarter To Three	1961/05/29	1	15	65	65	571
GenePitney_TownWithoutPity_1961	Gene Pitney	Town Without Pity	1961/12/04	13	16	44	44	1037
GeneralPublic_Tenderness_1984	General Public	Tenderness	1984/11/17	27	18	89	89	389
Genesis_Abacab_1982	Genesis	Abacab	1982/02/20	26	14	26	26	1256
Genesis_InvisibleTouch_1986	Genesis	Invisible Touch	1986/07/26	1	17	3	3	1126
Genesis_Misunderstanding_1980	Genesis	Misunderstanding	1980/07/26	14	18	22	22	393
Genesis_TonightTonightTonight_1987	Genesis	Tonight, Tonight, Tonight	1987/05/23	3	15	95	95	236
GeorgeBenson_Breezin_1976	George Benson	Breezin'	1976/11/06	63	6	65	67	967
GeorgeHarrison_AllThoseYearsAgo_1981	George Harrison	All Those Years Ago	1981/05/30, 1981/08/15	2, 2	16, 16	16, 51	16, 51	517, 680
GeorgeHarrison_BlowAway_1979	George Harrison	Blow Away	1979/04/07	16	14	26	26	419
GeorgeHarrison_CrackerboxPalace_1977	George Harrison	Crackerbox Palace	1977/02/05	19	11	49	49	1282
GeorgeHarrison_GotMyMindSetOnYou_1988	George Harrison	Got My Mind Set On You	1988/01/23	1	22	3	4	845
GeorgeHarrison_ThisSong_1977	George Harrison	This Song	1977/01/15	25	11	23	25	361
GinoVannelli_BlackCars_1985	Gino Vannelli	Black Cars	1985/08/17	42	16	98	99	68
GinoVannelli_HurtsToBeInLove_1985	Gino Vannelli	Hurts To Be In Love	1985/09/28, 1985/11/30	57, 57	12, 12	90, 75	89, 76	62, 1067
GinoVannelli_WildHorses_1987	Gino Vannelli	Wild Horses	1987/05/16	55	15	71	72	407
GladysKnightAndThePips_BabyDontChangeYourMind_1977	Gladys Knight & The Pips	Baby Don't Change Your Mind	1977/08/20, 1977/08/06, 1977/07/16	52, 52, 52	11, 11, 11	69, 67, 83	67, 67, 85	705, 888, 1250
GladysKnightAndThePips_BestThingThatEverHappenedToMe_1974	Gladys Knight & The Pips	Best Thing That Ever Happened To Me	1974/06/08	3	17	41	42	380
GladysKnightAndThePips_IfIWereYourWoman_1971	Gladys Knight & The Pips	If I Were Your Woman	1971/02/13	9	15	9	9	343
GladysKnightAndThePips_LetterFullOfTears_1962	Gladys Knight & The Pips	Letter Full Of Tears	1962/01/27, 1962/02/10	19, 19	11, 11	27, 19	27, 19	112, 596
GlenCampbell_Galveston_1969	Glen Campbell	Galveston	1969/03/15	4	12	18	18	224
GlenCampbell_ItsOnlyMakeBelieve_1970	Glen Campbell	It's Only Make Believe	1970/09/05	10	12	83	82	623
GlenCampbell_RhinestoneCowboy_1975	Glen Campbell	Rhinestone Cowboy	1975/10/11	1	23	14	15	246
GlenCampbell_Sunflower_1977	Glen Campbell	Sunflower	1977/07/23	39	11	63	62	347
GlenCampbell_WichitaLineman_1969	Glen Campbell	Wichita Lineman	1969/01/11	3	15	3	3	1114
GloriaGaynor_NeverCanSayGoodbye_1975	Gloria Gaynor	Never Can Say Goodbye	1975/02/08, 1974/12/07	9, 9	17, 17	20, 35	20, 34	190, 1068
GoldenEarring_TwilightZone_1983	Golden Earring	Twilight Zone	1983/02/19	10	27	19	20	170
GordonLightfoot_Beautiful_1972	Gordon Lightfoot	Beautiful	1972/07/01	58	11	69	68	180
GrahamNash_Chicago_1971	Graham Nash	Chicago	1971/07/17	35	11	38	36	25
GrandFunkRailroad_WalkLikeAMan_1973	Grand Funk Railroad	Walk Like A Man	1973/12/08	19	12	62	64	762
GratefulDead_SugarMagnolia_1973	Grateful Dead	Sugar Magnolia	1973/02/10	91	2	93	91	1034
HankSnow_IveBeenEverywhere_1962	Hank Snow	I've Been Everywhere	1962/10/20	68	8	86	86	1059
HarryChapin_SundayMorningSunshine_1972	Harry Chapin	Sunday Morning Sunshine	1972/11/25	75	6	78	80	412
Heart_CrazyOnYou_1978	Heart	Crazy On You	1978/02/11, 1976/06/12	35, 35	19, 19	99, 49	100,  49	33, 73
Heart_MagicMan_1976	Heart	Magic Man	1976/10/30, 1976/08/07	9, 9	23, 23	12, 71	10, 73	215, 800
Heart_TheresTheGirl_1988	Heart	There's The Girl	1988/01/30, 1988/01/02	12, 12	17, 17	20, 16	19, 18	281, 660
Heart_WhoWillYouRunTo_1987	Heart	Who Will You Run To	1987/12/12	7	22	89	90	1089
HiFive_ILikeTheWay_1991	Hi-Five	I Like The Way (The Kissing Game)	1991/07/20	1	23	67	67	856
HueyLewis_IWantANewDrug_1984	Huey Lewis	I Want A New Drug	1984/05/12	6	19	77	77	430
IkeAndTinaTurner_ItsGonnaWorkOutFine_1961	Ike & Tina Turner	It's Gonna Work Out Fine	1961/08/28	14	15	41	42	212
IkeAndTinaTurner_IWantToTakeYouHigher_1970	Ike & Tina Turner	I Want To Take You Higher	1970/08/29, 1970/08/15, 1970/08/22	34, 34, 34	18, 18, 18	35, 38, 35	34, 37, 35	204, 360, 996
INXS_NeedYouTonight_1988	INXS	Need You Tonight	1988/01/23	1	24	2	2	687
IrmaThomas_WishSomeoneWouldCare_1964	Irma Thomas	Wish Someone Would Care	1964/04/25	17	12	34	32	598
IronButterfly_InAGaddaDaVida_1968	Iron Butterfly	In-A-Gadda-Da-Vida	1968/11/02	30	17	31	30	261
IsaacHayes_DoYourThing_1972	Isaac Hayes	Do Your Thing	1972/04/08	30	11	29	30	216
IsaacHayes_TheLookOfLove_1971	Isaac Hayes	The Look Of Love	1971/03/06	79	5	84	82	978
JackieWilson_BabyWorkout_1963	Jackie Wilson	Baby Workout	1963/05/25	5	12	60	59	672
JacksonBrowne_Boulevard_1980	Jackson Browne	Boulevard	1980/08/16, 1980/07/26	19, 19	16, 16	22, 33	24, 33	561, 695
JacksonBrowne_HereComeThoseTearsAgain_1977	Jackson Browne	Here Come Those Tears Again	1977/04/02	23	9	54	54	395
JacksonBrowne_RedneckFriend_1973	Jackson Browne	Redneck Friend	1973/10/20	85	10	85	85	545
JacksonBrowne_RunningOnEmpty_1978	Jackson Browne	Running On Empty	1978/03/18	11	17	27	25	1155
JamesBrown_BabyYoureRight_1961	James Brown	Baby, You're Right	1961/08/28	49	4	65	65	533
JamesBrown_ColdSweatPart1_1967	James Brown	Cold Sweat - Part 1	1967/07/29	7	12	56	58	79
JamesBrown_DownAndOutInNewYorkCity_1973	James Brown	Down And Out In New York City	1973/04/07	50	7	50	52	1032
JamesBrown_GetUp_1970	James Brown	Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	1970/09/12	15	9	34	32	857
JamesBrown_IDontMind_1961	James Brown	I Don't Mind	1961/07/03	47	8	56	57	3
JamesBrown_IGotYou_1965	James Brown	I Got You (I Feel Good)	1965/11/27	3	12	8	9	314
JamesBrown_MyThang_1974	James Brown	My Thang	1974/07/06	29	13	51	51	490
JamesBrown_Think_1973	James Brown	Think	1973/06/09	33	16	79	77	640
JamesTaylor_CountryRoad_1971	James Taylor	Country Road	1971/02/13	37	8	68	67	901
JanAndDean_SidewalkSurfin_1964	Jan & Dean	Sidewalk Surfin'	1964/12/12	25	8	25	25	1272
JanAndDean_TheAnaheimAzusaAndCucamongaSewingCircleBookReviewAndTimingAssociation_1964	Jan & Dean	The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association	1964/10/10	77	3	82	82	689
JanAndDean_TheLittleOldLady_1964	Jan & Dean	The Little Old Lady (From Pasadena)	1964/07/04	3	11	21	22	635
JanisJoplin_KozmicBlues_1969	Janis Joplin	Kozmic Blues	1969/12/27	41	9	47	48	397
JeffBeck_PeopleGetReady_1985	Jeff Beck	People Get Ready	1985/08/17	48	10	83	85	698
JeffersonStarship_CountOnMe_1978	Jefferson Starship	Count On Me	1978/04/15	8	14	18	16	1045
JermaineJackson_LetsGetSerious_1980	Jermaine Jackson	Let's Get Serious	1980/08/30	9	23	97	98	811
JerryJeffWalker_MrBojangles_1968	Jerry Jeff Walker	Mr. Bojangles	1968/08/24	77	5	78	79	294
JerryReed_KoKoJoe_1971	Jerry Reed	Ko-Ko Joe	1971/09/18	51	6	56	58	713
JesusJones_RightHereRightNow_1991	Jesus Jones	Right Here, Right Now	1991/08/24, 1991/09/14	2, 2	25, 25	26, 61	26, 62	1169, 1260
JethroTull_LivingInThePast_1972	Jethro Tull	Living In The Past	1972/12/16	11	14	19	20	706
JFrankWilsonAndTheCavaliers_LastKiss_1964	J. Frank Wilson & The Cavaliers	Last Kiss	1964/09/05, 1974/01/05, 1964/10/17	2, 2, 2	20, 20, 20	71, 94,  4	73, 93,  5	54, 247, 402
JimiHendrix_Freedom_1971	Jimi Hendrix	Freedom	1971/05/01	59	8	67	65	35
JimmyBuffett_ComeMonday_1974	Jimmy Buffett	Come Monday	1974/08/10	30	14	45	45	758
JimmyClanton_JustADream_1958	Jimmy Clanton	Just A Dream	1958/10/27, 1958/09/15	4, 4	18, 18	31,  6	29,  5	185, 805
JimmyCliff_WonderfulWorldBeautifulPeople_1969	Jimmy Cliff	Wonderful World, Beautiful People	1969/12/06	25	11	80	81	203
JimmyJones_HandyMan_1960	Jimmy Jones	Handy Man	1960/02/08	2	18	6	5	250
JimmyReed_BabyWhatYouWantMeToDo_1960	Jimmy Reed	Baby What You Want Me To Do	1960/05/16, 1960/04/04	37, 37	14, 14	93, 79	93, 80	1024, 1263
JimmyRuffin_IvePassedThisWayBefore_1967	Jimmy Ruffin	I've Passed This Way Before	1967/01/07	17	11	23	23	1044
JimmySmith_WalkOnTheWildSide_1962	Jimmy Smith	Walk On The Wild Side (Part 1)	1962/06/09	21	11	31	32	455
JoanBaez_ThereButForFortune_1965	Joan Baez	There But For Fortune	1965/10/23	50	7	72	71	1087
JoeCocker_WithALittleHelpFromMyFriends_1968	Joe Cocker	With A Little Help From My Friends	1968/11/23	68	6	84	85	675
JohnDenver_AnniesSong_1974	John Denver	Annie's Song	1974/09/21	1	17	67	68	182
JohnDenver_BackHomeAgain_1974	John Denver	Back Home Again	1974/12/28, 1974/12/14	5, 5	16, 16	65, 44	65, 42	235, 446
JohnDenver_ItAmazesMe_1978	John Denver	It Amazes Me	1978/03/18	59	7	66	68	245
JohnDenver_RockyMountainHigh_1972	John Denver	Rocky Mountain High	1972/12/23	9	19	47	46	720
JohnDenver_SeasonsOfTheHeart_1982	John Denver	Seasons Of The Heart	1982/08/21	78	5	78	78	463
JohnDenver_SomeDaysAreDiamonds_1981	John Denver	Some Days Are Diamonds (Some Days Are Stone)	1981/09/19	36	20	37	36	711
JohnnyCash_IGotStripes_1959	Johnny Cash	I Got Stripes	1959/08/24	43	11	54	55	1160
JohnnyCash_TheWaysOfAWomanInLove_1958	Johnny Cash	The Ways Of A Woman In Love	1958/09/01	24	11	58	58	787
JohnnyHorton_JohnnyReb_1959	Johnny Horton	Johnny Reb	1959/08/24	54	8	69	70	1287
JohnnyHorton_TheBattleOfNewOrleans_1959	Johnny Horton	The Battle Of New Orleans	1959/04/27, 1959/08/24	1, 1	20, 20	93, 26	93, 25	500, 873
JohnnyLee_LookinForLove_1980	Johnny Lee	Lookin' For Love	1980/11/15	5	21	65	63	12
JohnnyTillotson_IRiseIFall_1964	Johnny Tillotson	I Rise, I Fall	1964/06/20	36	8	44	42	355
JohnnyTillotson_ItKeepsRightOnAHurtin_1962	Johnny Tillotson	It Keeps Right On A-Hurtin'	1962/06/09	3	12	6	6	1041
JohnnyTillotson_JimmysGirl_1961	Johnny Tillotson	Jimmy's Girl	1961/02/20	25	11	28	27	410
JohnnyTillotson_OutOfMyMind_1963	Johnny Tillotson	Out Of My Mind	1963/05/04	24	10	45	45	638
JohnnyTillotson_TalkBackTremblingLips_1963	Johnny Tillotson	Talk Back Trembling Lips	1963/12/07	7	13	26	26	1141
JohnnyTillotson_WorriedGuy_1964	Johnny Tillotson	Worried Guy	1964/03/07	37	7	47	47	267
JoniMitchell_BabyIDontCare_1982	Joni Mitchell	(You're So Square) Baby I Don't Care	1982/12/11	47	9	47	47	417
JoniMitchell_BigYellowTaxi_1975	Joni Mitchell	Big Yellow Taxi	1975/02/22	24	16	42	41	668
JudasPriest_YouveGotAnotherThingComin_1982	Judas Priest	You've Got Another Thing Comin'	1982/11/27	67	7	68	67	861
JuiceNewton_BreakItToMeGently_1982	Juice Newton	Break It To Me Gently	1982/08/21	11	17	74	74	303
JuiceNewton_QueenOfHearts_1981	Juice Newton	Queen Of Hearts	1981/07/04	2	27	22	23	690
Kaoma_Lambada_1990	Kaoma	Lambada	1990/04/28	46	12	78	77	1270
KateBush_RunningUpThatHill_1985	Kate Bush	Running Up That Hill	1985/12/14	30	20	59	58	531
KennyRogers_IDontNeedYou_1981	Kenny Rogers	I Don't Need You	1981/10/10	3	18	94	96	494
KennyRogers_Lady_1980	Kenny Rogers	Lady	1980/12/27	1	25	3	4	1258
KennyRogers_Lucille_1977	Kenny Rogers	Lucille	1977/04/16	5	19	43	42	731
KennyRogers_ScarletFever_1983	Kenny Rogers	Scarlet Fever	1983/08/20	94	2	95	94	372
KennyRogers_SweetMusicMan_1978	Kenny Rogers	Sweet Music Man	1978/01/28	44	8	43	44	472
KennyRogers_ThroughTheYears_1981	Kenny Rogers	Through The Years	1981/12/26, 1982/01/23	13, 13	15, 15	84, 32	82, 30	338, 832
KennyRogers_YouDecoratedMyLife_1980	Kenny Rogers	You Decorated My Life	1980/01/05	7	18	95	97	238
Kiss_RocketRide_1978	Kiss	Rocket Ride	1978/04/08	39	10	44	44	610
KoolAndTheGang_JungleBoogie_1974	Kool & The Gang	Jungle Boogie	1974/01/19	4	22	22	22	331
KrisKristofferson_LovingHerWasEasier_1971	Kris Kristofferson	Loving Her Was Easier (Than Anything I'll Ever Do Again)	1971/09/25	26	13	40	41	1135
LauraBranigan_Gloria_1982	Laura Branigan	Gloria	1982/11/27	2	36	3	2	995
LaVernBaker_ICriedATear_1959	LaVern Baker	I Cried A Tear	1959/02/09, 1959/02/02, 1959/02/02	6, 6, 6	21, 21, 21	14, 20, 21	12, 19, 19	822, 954, 1166
LaVernBaker_SeeSeeRider_1963	LaVern Baker	See See Rider	1963/02/02	34	11	47	48	425
LedZeppelin_DyerMaker_1973	Led Zeppelin	D'yer Mak'er	1973/11/24	20	16	39	40	749
LedZeppelin_OverTheHillsAndFarAway_1973	Led Zeppelin	Over The Hills And Far Away	1973/06/30, 1973/08/11	51, 51	8, 8	80, 64	81, 64	53, 1025
LedZeppelin_TrampledUnderFoot_1975	Led Zeppelin	Trampled Under Foot	1975/05/10	38	7	44	44	525
LeoSayer_YouMakeMeFeelLikeDancing_1977	Leo Sayer	You Make Me Feel Like Dancing	1977/01/22	1	21	3	3	986
LesleyGore_CaliforniaNights_1967	Lesley Gore	California Nights	1967/04/22, 1967/03/11	16, 16	14, 14	32, 25	33, 27	813, 896
LesleyGore_YouDontOwnMe_1964	Lesley Gore	You Don't Own Me	1964/03/07	2	13	14	13	1211
Level42_SomethingAboutYou_1986	Level 42	Something About You	1986/03/22, 1986/07/05	7, 7	27, 27	52, 34	52, 34	158, 1237
LindaRonstadt_WhenWillIBeLoved_1975	Linda Ronstadt	When Will I Be Loved	1975/07/26, 1975/07/19	2, 2	19, 19	72, 23	73, 23	324, 839
LittleAnthonyAndTheImperials_OutOfSightOutOfMind_1969	Little Anthony & The Imperials	Out Of Sight, Out Of Mind	1969/09/06	52	9	54	53	927
LittleJoeyAndTheFlips_BongoStomp_1962	Little Joey & The Flips	Bongo Stomp	1962/06/16	35	8	99	97	67
LittleRiverBand_HappyAnniversary_1978	Little River Band	Happy Anniversary	1978/02/25	16	18	19	20	1174
LittleRiverBand_HelpIsOnItsWay_1977	Little River Band	Help Is On Its Way	1977/11/05, 1977/12/24	14, 14	22, 22	20, 98	18, 100	187, 721
LittleRiverBand_Reminiscing_1978	Little River Band	Reminiscing	1978/08/19	3	20	27	28	77
LittleRiverBand_TheOtherGuy_1983	Little River Band	The Other Guy	1983/01/15	11	18	13	14	310
LittleRiverBand_WeTwo_1983	Little River Band	We Two	1983/06/18	22	12	23	22	104
LookingGlass_Brandy_1972	Looking Glass	Brandy (You're A Fine Girl)	1972/09/30, 1972/08/19	1, 1	16, 16	32,  1	33,  2	128, 682
LosLobos_WillTheWolfSurvive_1985	Los Lobos	Will The Wolf Survive	1985/04/20	78	5	96	94	1119
LouisArmstrong_HelloDolly_1964	Louis Armstrong	Hello, Dolly!	1964/03/28	1	22	8	8	650
LouisPrimaAndKeelySmith_ThatOldBlackMagic_1958	Louis Prima & Keely Smith	That Old Black Magic	1958/12/15	18	13	20	18	746
LynyrdSkynyrd_SweetHomeAlabama_1974	Lynyrd Skynyrd	Sweet Home Alabama	1974/10/26	8	17	9	8	107
Madonna_LiveToTell_1986	Madonna	Live To Tell	1986/07/26	1	18	58	59	1173
Madonna_OhFather_1990	Madonna	Oh Father	1990/02/03	20	13	100	100	1140
MarcCohn_WalkingInMemphis_1991	Marc Cohn	Walking In Memphis	1991/08/17	13	23	69	69	775
MarieOsmond_PaperRoses_1973	Marie Osmond	Paper Roses	1973/10/20	5	16	10	10	1245
MarkyMark_GoodVibrations_1991	Marky Mark	Good Vibrations	1991/11/09, 1991/11/09	1, 1	19, 19	31, 30	31, 31	352, 503
MarthaAndTheVandellas_NowhereToRun_1965	Martha & The Vandellas	Nowhere To Run	1965/03/27	8	11	14	12	74
MartyRobbins_BigIron_1960	Marty Robbins	Big Iron	1960/03/21, 1960/05/09	26, 26	10, 10	67, 42	67, 43	814, 1120
MartyRobbins_IWalkAlone_1968	Marty Robbins	I Walk Alone	1968/12/14	65	8	66	65	1054
MarvinGayeAndKimWeston_ItTakesTwo_1967	Marvin Gaye & Kim Weston	It Takes Two	1967/01/07	14	12	87	88	280
MarvinGayeAndTammiTerrell_IfICouldBuildMyWholeWorldAroundYou_1967	Marvin Gaye & Tammi Terrell	If I Could Build My Whole World Around You	1967/12/23, 1967/12/23, 1967/12/09	10, 10, 10	11, 11, 11	22, 24, 49	23, 23, 47	619, 1100, 1117
MarvinGaye_IWantYou_1976	Marvin Gaye	I Want You	1976/06/26, 1976/05/15	15, 15	13, 13	14, 35	15, 35	319, 795
MarvinGaye_MercyMercyMe_1971	Marvin Gaye	Mercy Mercy Me (The Ecology)	1971/08/07	4	12	10	10	819
MaryMacGregor_TornBetweenTwoLovers_1976	Mary MacGregor	Torn Between Two Lovers	1976/12/18	1	22	43	42	1138
MaxFrostAndTheTroopers_ShapeOfThingsToCome_1968	Max Frost & The Troopers	Shape Of Things To Come	1968/11/16	22	12	38	40	257
MeatLoaf_ParadiseByTheDashboardLight_1978	Meat Loaf	Paradise By The Dashboard Light	1978/09/30	39	10	43	43	71
MeatLoaf_YouTookTheWordsRightOutOfMyMouth_1978	Meat Loaf	You Took The Words Right Out Of My Mouth	1978/12/02	39	13	63	64	807
MelbaMontgomery_NoCharge_1974	Melba Montgomery	No Charge	1974/06/08	39	10	38	39	167
MelTorme_CominHomeBaby_1962	Mel Torme	Comin' Home Baby	1962/12/29	36	11	36	36	213
Metallica_One_1989	Metallica	One	1989/05/20	35	15	89	89	884
MichaelJackson_BeatIt_1983	Michael Jackson	Beat It	1983/04/02	1	25	14	14	629
MichaelJackson_HumanNature_1983	Michael Jackson	Human Nature	1983/08/13	7	14	22	23	637
MichaelJackson_ManInTheMirror_1988	Michael Jackson	Man In The Mirror	1988/04/23	1	16	11	11	1188
MichaelJackson_WannaBeStartinSomethin_1983	Michael Jackson	Wanna Be Startin' Somethin'	1983/09/03	5	15	89	89	223
MichaelJacksonWithSiedahGarrett_IJustCantStopLovingYou_1987	Michael Jackson With Siedah Garrett	I Just Can't Stop Loving You	1987/08/22	1	12	12	10	85
MichaelJohnson_AlmostLikeBeingInLove_1978	Michael Johnson	Almost Like Being In Love	1978/09/02	32	12	54	54	547
MichaelSembello_Maniac_1983	Michael Sembello	Maniac	1983/06/25	1	22	49	48	553
MilliVanilli_BabyDontForgetMyNumber_1989	Milli Vanilli	Baby Don't Forget My Number	1989/05/27	1	21	21	22	1276
MilliVanilli_GirlImGonnaMissYou_1989	Milli Vanilli	Girl I m Gonna Miss You	1989/09/02	1	21	13	12	1039
MilliVanilli_GirlYouKnowItsTrue_1989	Milli Vanilli	Girl You Know It's True	1989/04/22	2	26	8	8	913
MinnieRiperton_LovinYou_1975	Minnie Riperton	Lovin' You	1975/01/18	1	18	81	80	1257
NakedEyes_AlwaysSomethingThereToRemindMe_1983	Naked Eyes	Always Something There To Remind Me	1983/03/19	8	22	80	79	181
NancySinatra_TheseBootsAreMadeForWalkin_1966	Nancy Sinatra	These Boots Are Made For Walkin'	1966/02/05	1	14	29	28	284
NatalieCole_IveGotLoveOnMyMind_1977	Natalie Cole	I've Got Love On My Mind	1977/02/05	5	21	74	74	177
NatalieCole_Unforgettable_1991	Natalie Cole	Unforgettable	1991/11/02	14	17	88	88	982
NatKingCole_RamblinRose_1962	Nat King Cole	Ramblin' Rose	1962/11/17	2	16	62	61	220
NatKingCole_ThoseLazyHazyCrazyDaysOfSummer_1963	Nat King Cole	Those Lazy-Hazy-Crazy Days Of Summer	1963/07/20, 1963/07/06	6, 6	12, 12	31, 11	33, 12	516, 1132
NeilSedaka_BreakingUpIsHardToDo_1976	Neil Sedaka	Breaking Up Is Hard To Do	1976/03/13	1	25	55	55	728
NenehCherry_KissesOnTheWind_1989	Neneh Cherry	Kisses On The Wind	1989/10/07, 1989/08/19	8, 8	14, 14	23, 32	24, 32	370, 909
NickGilder_HotChildInTheCity_1978	Nick Gilder	Hot Child In The City	1978/09/23, 1978/12/02	1, 1	31, 31	9, 26	9, 28	615, 783
NittyGrittyDirtBand_BuyForMeTheRain_1967	Nitty Gritty Dirt Band	Buy For Me The Rain	1967/04/22	45	7	57	57	88
NittyGrittyDirtBand_MakeALittleMagic_1980	Nitty Gritty Dirt Band	Make A Little Magic	1980/09/13	25	16	42	43	859
OakRidgeBoys_Elvira_1981	Oak Ridge Boys	Elvira	1981/05/30	5	22	48	48	864
Ocean_PutYourHandInTheHand_1971	Ocean	Put Your Hand In The Hand	1971/05/29	2	14	5	6	429
Oliver_GoodMorningStarshine_1969	Oliver	Good Morning Starshine	1969/07/12	3	13	4	3	834
OtisRedding_ChainedAndBound_1964	Otis Redding	Chained And Bound	1964/10/31	70	7	95	95	678
OtisRedding_IveBeenLovingYouTooLong_1965	Otis Redding	I've Been Loving You Too Long (To Stop Now)	1965/07/03	21	11	20	21	502
OtisRedding_TheDockOfTheBay_1968	Otis Redding	(Sittin' On) The Dock Of The Bay	1968/03/23	1	16	1	1	645
PaperLace_TheNightChicagoDied_1974	Paper Lace	The Night Chicago Died	1974/08/03	1	17	4	5	767
PatBenatar_FireAndIce_1981	Pat Benatar	Fire And Ice	1981/08/15	17	15	25	24	89
PatBenatar_Heartbreaker_1980	Pat Benatar	Heartbreaker	1980/03/08, 1979/12/22	23, 23	18, 18	22, 75	24, 76	1053, 1204
PatBenatar_LittleTooLate_1983	Pat Benatar	Little Too Late	1983/04/30	20	14	81	83	973
PatBenatar_LoveIsABattlefield_1983	Pat Benatar	Love Is A Battlefield	1983/10/01	5	22	63	62	741
PatBenatar_PromisesInTheDark_1981	Pat Benatar	Promises In The Dark	1981/11/21, 1981/11/21	38, 38	11, 11	57, 55	55, 55	227, 275
PatrickHernandez_BornToBeAlive_1979	Patrick Hernandez	Born To Be Alive	1979/07/14, 1979/06/30, 1979/08/04	16, 16, 16	19, 19, 19	59, 79, 40	60, 78, 40	259, 279, 552
PaulAnka_LetMeGetToKnowYou_1974	Paul Anka	Let Me Get To Know You	1974/02/23	80	8	85	87	325
PaulAnka_LoveMeWarmAndTender_1962	Paul Anka	Love Me Warm And Tender	1962/05/12	12	12	36	34	196
PaulMcCartneyAndWings_MyLove_1973	Paul McCartney & Wings	My Love	1973/04/14	1	18	73	73	1163
PaulMcCartney_MaybeImAmazed_1977	Paul McCartney	Maybe I'm Amazed	1977/03/05	10	13	20	20	206
PaulMcCartney_Press_1986	Paul McCartney	Press	1986/08/23	21	11	39	39	772
PaulMcCartney_WithALittleLuck_1978	Paul McCartney	With A Little Luck	1978/07/22	1	18	94	96	456
PaulRevereAndTheRaiders_Kicks_1966	Paul Revere & The Raiders	Kicks	1966/06/04	4	14	14	14	1181
PaulSimon_50WaysToLeaveYourLover_1976	Paul Simon	50 Ways To Leave Your Lover	1976/03/27	1	17	31	29	824
PaulSimon_YouCanCallMeAl_1986	Paul Simon	You Can Call Me Al	1986/08/23, 1986/08/09	23, 23	29, 29	69, 83	69, 83	81, 833
PeachesAndHerb_ShakeYourGrooveThing_1978	Peaches & Herb	Shake Your Groove Thing	1978/12/23	5	22	69	71	550
PeggyLee_Fever_1958	Peggy Lee	Fever	1958/09/22	8	16	32	33	396
PeggyLee_IsThatAllThereIs_1969	Peggy Lee	Is That All There Is	1969/10/11	11	10	33	33	59
PeterGabriel_ShockTheMonkey_1982	Peter Gabriel	Shock The Monkey	1982/11/06, 1982/12/04	29, 29	18, 18	59, 39	60, 39	92, 141
